title_y,cluster_id
Talladega Nights: The Ballad of Ricky Bobby,1
Dr. Dolittle 2,2
Braveheart,2
Jarhead,1
The Simpsons Movie,2
The Majestic,1
Driven,1
Two Brothers,1
The Village,1
Doctor Dolittle,1
Signs,2
Shrek 2,2
Cars,2
Runaway Bride,1
xXx,1
The SpongeBob Movie: Sponge Out of Water,2
Ransom,1
Inglourious Basterds,2
Hook,1
Die Hard 2,1
S.W.A.T.,1
Vanilla Sky,1
Lady in the Water,1
AVP: Alien vs. Predator,1
Alvin and the Chipmunks: The Squeakquel,2
We Were Soldiers,1
Olympus Has Fallen,1
Star Trek: Insurrection,1
Battle: Los Angeles,1
Big Fish,1
Wolf,4
War Horse,1
The Monuments Men,1
The Abyss,1
Wall Street: Money Never Sleeps,1
Dracula Untold,1
The Siege,2
Stardust,1
Seven Years in Tibet,1
The Dilemma,1
Bad Company,1
Doom,1
I Spy,1
Underworld: Awakening,1
Rock of Ages,1
Hart's War,1
Killer Elite,1
Rollerball,4
Ballistic: Ecks vs. Sever,1
Hard Rain,1
Osmosis Jones,2
Legends of Oz: Dorothy's Return,2
Blackhat,1
Sky Captain and the World of Tomorrow,1
Basic Instinct 2,1
Escape Plan,1
The Legend of Hercules,1
The Sum of All Fears,1
The Twilight Saga: Eclipse,2
The Score,1
Despicable Me,2
Money Train,1
Ted 2,1
Agora,1
Mystery Men,1
Hall Pass,1
The Insider,1
The Finest Hours,1
Body of Lies,1
Dinner for Schmucks,1
Abraham Lincoln: Vampire Hunter,1
Entrapment,1
The X Files,1
The Last Legion,1
Saving Private Ryan,2
Need for Speed,1
What Women Want,1
Ice Age,2
Dreamcatcher,1
Lincoln,1
The Matrix,2
Apollo 13,1
The Santa Clause 2,1
Les Misérables,2
You've Got Mail,1
Step Brothers,1
The Mask of Zorro,2
Due Date,1
Unbroken,1
Space Cowboys,1
Cliffhanger,1
Broken Arrow,1
The Kid,1
World Trade Center,1
Mona Lisa Smile,1
The Dictator,1
Eyes Wide Shut,1
Annie,1
Focus,1
This Means War,1
Blade: Trinity,1
Red Dawn,3
Primary Colors,1
Resident Evil: Retribution,1
Death Race,1
The Long Kiss Goodnight,1
Proof of Life,1
Zathura: A Space Adventure,2
Fight Club,2
We Are Marshall,1
Hudson Hawk,1
Lucky Numbers,1
"I, Frankenstein",1
Oliver Twist,1
Elektra,1
Sin City: A Dame to Kill For,1
Random Hearts,1
Everest,1
Perfume: The Story of a Murderer,1
Austin Powers in Goldmember,1
Astro Boy,2
Jurassic Park,2
Wyatt Earp,1
Clear and Present Danger,1
Dragon Blade,1
Little Man,1
U-571,1
The American President,1
The Love Guru,1
3000 Miles to Graceland,1
The Hateful Eight,2
Blades of Glory,1
Hop,2
300,2
Meet the Fockers,2
Marley & Me,1
The Green Mile,2
Wild Hogs,1
Chicken Little,2
Gone Girl,2
The Bourne Identity,2
GoldenEye,1
The General's Daughter,1
The Truman Show,2
The Prince of Egypt,2
Daddy Day Care,1
2 Guns,1
Cats & Dogs,2
The Italian Job,1
Two Weeks Notice,1
Antz,2
Couples Retreat,1
Days of Thunder,1
Cheaper by the Dozen 2,1
Maze Runner: The Scorch Trials,2
Eat Pray Love,1
The Family Man,1
RED,1
Any Given Sunday,1
The Horse Whisperer,1
Collateral,1
The Scorpion King,1
Ladder 49,1
Jack Reacher,1
Deep Blue Sea,1
This Is It,1
Contagion,1
Kangaroo Jack,4
Coraline,2
The Happening,1
Man on Fire,1
The Shaggy Dog,1
Starsky & Hutch,1
Jingle All the Way,1
Hellboy,1
A Civil Action,1
ParaNorman,2
The Jackal,1
Paycheck,1
Up Close & Personal,1
The Tale of Despereaux,2
The Tuxedo,1
Under Siege 2: Dark Territory,1
Jack Ryan: Shadow Recruit,1
Joy,1
London Has Fallen,1
Alien: Resurrection,1
Shooter,1
The Boxtrolls,2
Practical Magic,1
The Lego Movie,2
Miss Congeniality 2: Armed and Fabulous,1
Reign of Fire,1
Gangster Squad,1
Year One,1
Invictus,1
State of Play,1
Duplicity,1
My Favorite Martian,1
The Sentinel,1
Planet 51,2
Star Trek: Nemesis,1
Intolerable Cruelty,1
Trouble with the Curve,0
Edge of Darkness,1
The Relic,1
Analyze That,1
Righteous Kill,1
Mercury Rising,1
The Soloist,1
The Legend of Bagger Vance,1
Almost Famous,1
Garfield: A Tail of Two Kitties,2
xXx: State of the Union,1
Priest,1
Sinbad: Legend of the Seven Seas,2
